id_cliente,nombre_cliente,direccion,comuna,tipo_cliente,fecha_alta_contrato
CL-00001,Margarita Daniela Mansilla Concha,Paola Padilla 1,Talcahuano,Residencial,2025-04-14
CL-00002,Florencia María Espinoza Yáñez,Calle Esmeralda 665 Of. 428,San Pedro de la Paz,Residencial,2019-01-23
CL-00003,Gonzalo Joaquín Espinoza Quezada,Calle Los Aromos 8437 Dpto. 94,Chiguayante,Residencial,2013-01-02
CL-00004,Millaray Hilda Jara Sepúlveda,Calle Las Manzanillas 8973 Piso 6,Hualpén,Residencial,2012-08-10
CL-00005,María Patricia Bastías Cerda,Av. Manuel Guajardo 30 Piso 36,Concepción,Residencial,2012-06-07
CL-00006,Lorena Bobadilla Vera,Sergio Romero 756,Concepción,Residencial,2023-12-20
CL-00007,Valeria Osses,Alexis Fernández 78,Concepción,Residencial,2024-11-07
CL-00008,María Araya Álvarez,Calle Ernesto Seguel 3472,San Pedro de la Paz,Residencial,2020-08-28
CL-00009,Juan Felipe Inostroza Riquelme,Los Robles 43 Of. 630,Hualpén,Residencial,2021-05-12
CL-00010,Pedro Byron Pacheco Cornejo,Manuel José Irarrázaval 61,Chiguayante,Residencial,2022-01-27
CL-00011,Carlos Vera Carrera,Psje. Luis Moreno 4626 Dpto. 8313,Concepción,Residencial,2024-08-23
CL-00012,Irma Garcés Carrillo,Avda. Picarte 2750 Dpto. 911,San Pedro de la Paz,Residencial,2025-03-24
CL-00013,Felipe Cristian Castillo Chamorro,Luisa Velásquez 7192,Chiguayante,Comercial,2022-08-24
CL-00014,Magdalena Paula Lorca Navarro,José Manuel Balmaceda 7182 Of. 9062,Concepción,Residencial,2023-06-14
CL-00015,Gabriel Cristian Acevedo Barahona,Psje. Thiare Torres 920,Concepción,Residencial,2014-04-26
CL-00016,Fabricio Jaime Soto Muñoz,Esmeralda 9321 Piso 0,Concepción,Residencial,2019-01-15
CL-00017,Elías Romero Díaz,Matías Zurita 1034,Concepción,Residencial,2017-10-03
CL-00018,Mauricio Villar-Duarte,Claudio Acuña 985 Of. 131,Talcahuano,Comercial,2016-01-30
CL-00019,Esteban Alvarado Vargas,Calle Jimena Espinoza 6839,Talcahuano,Residencial,2022-01-15
